account,Rewards,combined_points,badge_17_tier,badge_17_points,badge_22_tier,badge_22_points,badge_26_tier,badge_26_points,pp_level
0xc96520cbc4c5812ff0a75779fe1c8e86e450024a,200,300,,0,5,300,,0,3
0x7c82624011918c21ef291b725364d2a359fbf596,200,300,,0,5,300,,0,0
0xe428842fbf71622d11443c7cd2b44df704e39d17,200,300,,0,5,300,,0,3
0x5ec038c58f9eef981e8f730cc7bfabf0af293511,200,300,,0,5,300,,0,3
0x7cbeb64e377f44a11cac461770954ee18e0872ec,200,300,,0,5,300,,0,3
0x2bce888c2eb84ce3a621b68a50f11ce9da64bef9,200,300,,0,5,300,,0,3
0x7f44448179e35db44042d9b32d21c9c6ed254488,200,300,,0,5,300,,0,4
0xcf2d3fd33a2ea6bf07ae7aaaca6349af2f32601c,200,300,,0,5,300,,0,3
0x3bc03f2984edafc26062ab1f687636b57663a4bb,200,300,,0,5,300,,0,3
0x163bdfde6092159f2b3b313cef75dae425d557b3,200,300,,0,5,300,,0,3
0xca994ca4ecc8ccdbd733013ebc892c959d107d35,200,300,,0,5,300,,0,3
0x840937a0f8685fa64425513cc88dda69e46b7e34,200,300,,0,5,300,,0,3
0xee5950463cf6a526e2ac0792af6ae5883cf317da,200,300,,0,5,300,,0,0
0x5ea90db20126e26941686f1e23e97e3c38732ecb,200,300,,0,5,300,,0,3
0xd20f18328e094424592076452651d162020e8ee2,200,300,,0,5,300,,0,4
0xd9374dfcc95db781379fe8dfcbc2e74ed173bb42,200,300,,0,5,300,,0,3
0x64655f03147c33a9dfcecf7a090ae91d93f723e7,200,300,,0,5,300,,0,3
0x4af4e15347a2ac358912aaf151f5182f16cfe6ef,200,300,,0,5,300,,0,3
0x378656e72d7c9b52ea4d14a3c3d5a11459984f2f,200,300,,0,5,300,,0,3
0x1f043d2911495af015874b981805eb034c811e95,200,300,,0,5,300,,0,3
0x1107a761a6820d7febb9d8943150b28f316326b7,200,300,,0,5,300,,0,0
0xf4ad6230695c839bac4ad2e7be2ecceb9a58575c,200,300,,0,5,300,,0,0
0x1982c35b21ff69edba8b1dc5583b1b40aefb6b39,200,300,,0,5,300,,0,0
0xd7576c57ec4d57252cd38207f3bd75d70fa1d00c,200,300,,0,5,300,,0,3
0x71398dc11f6b2798897abe57d5edef14441e678e,200,300,,0,5,300,,0,3
0x8c50a6c167c599f5e8f005528d138b29b4da11e6,200,300,,0,5,300,,0,0
0x6b6290a5069db20454b0a7e937983a4ddac2546d,200,300,,0,5,300,,0,3
0x6b9d6c3eb68e1fcceb17a5d221241e0c98df5288,200,300,,0,5,300,,0,3
0xf71288b6551de7f7a5a7658350007ab866fbd2c4,200,300,,0,5,300,,0,3
0xe8fc60f98377bfa506dfa66b63ad3a030be0b169,200,300,,0,5,300,,0,3
0xd8ecffb99bb4bd0f2411d5f51013b83349a6c446,200,300,,0,5,300,,0,3
0xb2ab99dba49a8a7ec06c55644df8c029dcacdaab,200,300,,0,5,300,,0,0
0x95405baee181e2e444b143fe16f8b52a845eb9ae,200,300,,0,5,300,,0,3
0x5aa2ee613206d2d4ec53b23f93dfb7cc6bed8382,200,300,,0,5,300,,0,3
0x642c9b3ca932de87c5ae5fefc160c3b3c32d693b,200,300,,0,5,300,,0,0
0x920f2e761268e42222cd4ef15ee0566dfac8fab9,200,300,,0,5,300,,0,3
0x17ac303782bcb07b39785f55d3ebc897f88397b3,200,300,,0,5,300,,0,4
0xb369b2220e140a419a704670a6e7ee70a25c7228,200,300,,0,5,300,,0,3
0xf80ddeb812d1427f59ae89c239232fb19b876f47,200,300,,0,5,300,,0,3
0x5d725fd1548a1da18c4346a5fdc09dd69bb309f9,200,300,,0,5,300,,0,3
0x7bd611bd7f952ec9059c70aa5f0887a618fb3ac4,200,300,,0,5,300,,0,3
0xe69c21b38484826591a8ff8f15a7fa6211b0d503,200,300,,0,5,300,,0,0
0x3d35e54bd2d4f4ff0eb23549351613b105fe056c,200,300,,0,5,300,,0,3
0x0a689ea19ad74812e09826a6d26943b219bf56cb,200,300,,0,5,300,,0,0
0xe2e458ae6f39c275159ebbc394110486e2669863,200,300,,0,5,300,,0,3
0x2196709e2f4bf2b16cae3712e3eed2e872ab225f,200,300,,0,5,300,,0,3
0xdd03fb67796625dd744a8e06f6189c75596481bd,200,300,,0,5,300,,0,3
0x9bf98acb500cdc2266182be00a758bbcfd14357a,200,300,,0,5,300,,0,3
0x565c96eafeefe697d62b895f2e9f6357d521067c,200,300,,0,5,300,,0,0
0x552c789e36efa5c28b7963e1a9c1761493a5246c,200,300,,0,5,300,,0,3
0xb6f9ccd43eaabb739edf32c5ffe25c29210b782d,200,300,,0,5,300,,0,3
0x402f7d08b14e15beafd96397ac852ebaa6728695,200,300,,0,5,300,,0,3
0xfd059bca6a15998039c469640adfd6307d750445,200,300,,0,5,300,,0,3
0x529308e2153580e5a5a06a37c610d8781a65db81,200,300,,0,5,300,,0,3
0x8aa4c1d82ee1f6336511bda1f9d08d34c63ba719,200,300,,0,5,300,,0,0
0x314394cd405ce188659220e1e1b6662c82f34e0f,200,300,,0,5,300,,0,4
0xd99086ed40a2af15099e8714260abe9eec44fdc0,200,300,,0,5,300,,0,3
0xccbcb135e3c7442b955e8b18047d6d5a1c4fba01,200,300,,0,5,300,,0,0
0x70ea6a1f2ce2992148cd221719220feca5ebad52,200,300,,0,5,300,,0,3
0x91415d32de8ab789cf1deab19f9ed3a24cf86c2c,200,300,,0,5,300,,0,3
0x2f0be9139536cdc48b3f70365295c3b656e224e7,200,300,,0,5,300,,0,0
0xc807d4d3bf55b4d4e57f084bbbbd4aed70140a97,200,300,,0,5,300,,0,4
